發票年月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013/2/1,B,臺中市,零售式量販店,35312,20328145,576
2013/2/1,B,臺中市,食品、飲料及菸草製品零售業,17760,3943860,222
2013/2/1,B,臺中市,餐飲業,11760,2447636,208
2013/2/1,C,基隆市,便利商店,25922,2509572,97
2013/2/1,C,基隆市,綜合商品零售業,24113,2662393,110
2013/2/1,C,基隆市,超級市場,13554,3472215,256
2013/2/1,C,基隆市,食品、飲料及菸草製品零售業,12886,1952683,152
2013/2/1,D,臺南市,便利商店,16804,2098419,125
2013/2/1,D,臺南市,百貨公司,131743,197533652,1499
2013/2/1,D,臺南市,綜合商品零售業,52942,9880397,187
2013/2/1,D,臺南市,超級市場,553377,50434504,91
2013/2/1,D,臺南市,零售式量販店,33543,20272463,604
2013/2/1,D,臺南市,食品、飲料及菸草製品零售業,15871,4236921,267
2013/2/1,D,臺南市,餐飲業,10715,1796954,168
2013/2/1,E,高雄市,便利商店,17483,1972565,113
2013/2/1,E,高雄市,百貨公司,65137,68194367,1047
2013/2/1,E,高雄市,綜合商品零售業,18422,3925224,213
2013/2/1,E,高雄市,超級市場,17348,4271143,246
2013/2/1,E,高雄市,零售式量販店,14094,10582512,751
2013/2/1,E,高雄市,食品、飲料及菸草製品零售業,638643,55614218,87
2013/2/1,E,高雄市,餐飲業,9256,1599128,173
2013/2/1,F,新北市,便利商店,31618,2988593,95
2013/2/1,F,新北市,百貨公司,17721,4512292,255
2013/2/1,F,新北市,綜合商品零售業,28603,3314490,116
2013/2/1,F,新北市,超級市場,14262,4211524,295
2013/2/1,F,新北市,零售式量販店,20194,10158559,503
2013/2/1,F,新北市,食品、飲料及菸草製品零售業,13292,2383663,179
2013/2/1,F,新北市,餐飲業,10249,1611100,157
2013/2/1,G,宜蘭縣,便利商店,38874,4045360,104
2013/2/1,G,宜蘭縣,綜合商品零售業,35743,4385283,123
2013/2/1,G,宜蘭縣,超級市場,18725,6130956,327
2013/2/1,G,宜蘭縣,食品、飲料及菸草製品零售業,15483,4076701,263
2013/2/1,H,桃園市,便利商店,34012,3323908,98
2013/2/1,H,桃園市,百貨公司,34962,41697261,1193
2013/2/1,H,桃園市,綜合商品零售業,32258,5028981,156
2013/2/1,H,桃園市,超級市場,18468,7870292,426
2013/2/1,H,桃園市,零售式量販店,42509,30565090,719
2013/2/1,H,桃園市,食品、飲料及菸草製品零售業,13689,2807911,205
2013/2/1,H,桃園市,餐飲業,32607,28504038,874
2013/2/1,I,嘉義市,便利商店,17316,1964984,113
2013/2/1,I,嘉義市,綜合商品零售業,39966,8011541,200
2013/2/1,I,嘉義市,超級市場,161380,16463731,102
2013/2/1,J,新竹縣,便利商店,13316,1403460,105
2013/2/1,J,新竹縣,綜合商品零售業,12846,1621625,126
2013/2/1,J,新竹縣,超級市場,5346,1521463,285
2013/2/1,J,新竹縣,食品、飲料及菸草製品零售業,8476,4559199,538
2013/2/1,K,苗栗縣,便利商店,14464,1684134,116
2013/2/1,K,苗栗縣,綜合商品零售業,15531,2950746,190
2013/2/1,K,苗栗縣,超級市場,14370,4649868,324
2013/2/1,K,苗栗縣,食品、飲料及菸草製品零售業,19392,4654037,240
2013/2/1,M,南投縣,便利商店,38835,4462731,115
2013/2/1,M,南投縣,綜合商品零售業,37635,4964013,132
2013/2/1,N,彰化縣,便利商店,16600,2248212,135
2013/2/1,N,彰化縣,綜合商品零售業,38123,4967603,130
2013/2/1,N,彰化縣,超級市場,311790,34828781,112
2013/2/1,N,彰化縣,食品、飲料及菸草製品零售業,19684,5033432,256
2013/2/1,O,新竹市,便利商店,33293,2906043,87
2013/2/1,O,新竹市,百貨公司,48440,80003180,1652
2013/2/1,O,新竹市,綜合商品零售業,33634,7533895,224
2013/2/1,O,新竹市,超級市場,9929,1838406,185
2013/2/1,O,新竹市,食品、飲料及菸草製品零售業,7775,1308106,168
2013/2/1,O,新竹市,餐飲業,9272,1431345,154
2013/2/1,P,雲林縣,便利商店,39254,4392493,112
2013/2/1,P,雲林縣,綜合商品零售業,37319,5381261,144
2013/2/1,P,雲林縣,超級市場,36979,18774443,508
2013/2/1,P,雲林縣,食品、飲料及菸草製品零售業,14779,5474146,370
2013/2/1,Q,嘉義縣,便利商店,43126,4554483,106
2013/2/1,Q,嘉義縣,綜合商品零售業,40924,5029284,123
2013/2/1,Q,嘉義縣,超級市場,30036,9886751,329
2013/2/1,T,屏東縣,便利商店,18872,2537287,134
2013/2/1,T,屏東縣,綜合商品零售業,46579,6041406,130
2013/2/1,T,屏東縣,零售式量販店,15266,5489384,360
2013/2/1,T,屏東縣,食品、飲料及菸草製品零售業,14603,3976337,272
2013/2/1,U,花蓮縣,便利商店,55870,5997124,107
2013/2/1,U,花蓮縣,綜合商品零售業,48151,5899497,123
2013/2/1,V,臺東縣,便利商店,57138,6405096,112
2013/2/1,V,臺東縣,綜合商品零售業,54079,6441429,119
2013/2/1,X,澎湖縣,便利商店,56157,8510147,152
2013/2/1,X,澎湖縣,綜合商品零售業,48496,7728204,159
2013/3/1,A,臺北市,便利商店,52235,3874343,74
2013/3/1,A,臺北市,百貨公司,102390,161457127,1577
2013/3/1,A,臺北市,綜合商品零售業,47465,8522648,180
2013/3/1,A,臺北市,超級市場,15898,3305621,208
2013/3/1,A,臺北市,零售式量販店,33296,16720919,502
2013/3/1,A,臺北市,食品、飲料及菸草製品零售業,20440,3105229,152
2013/3/1,A,臺北市,餐飲業,16667,3398390,204
2013/3/1,B,臺中市,便利商店,19479,2012323,103
2013/3/1,B,臺中市,百貨公司,121724,234043931,1923
2013/3/1,B,臺中市,綜合商品零售業,45026,6846848,152
2013/3/1,B,臺中市,超級市場,290350,25455732,88
2013/3/1,B,臺中市,零售式量販店,29570,13359211,452
2013/3/1,B,臺中市,食品、飲料及菸草製品零售業,20557,4166494,203
2013/3/1,B,臺中市,餐飲業,13129,2259024,172
2013/3/1,C,基隆市,便利商店,30015,2433090,81
2013/3/1,C,基隆市,綜合商品零售業,27805,2592737,93
2013/3/1,C,基隆市,超級市場,15106,3421422,226
2013/3/1,C,基隆市,食品、飲料及菸草製品零售業,14525,1937903,133
2013/3/1,D,臺南市,便利商店,19463,2108863,108
2013/3/1,D,臺南市,百貨公司,93840,134574557,1434
2013/3/1,D,臺南市,綜合商品零售業,58047,8318149,143
2013/3/1,D,臺南市,超級市場,568315,45806003,81
2013/3/1,D,臺南市,零售式量販店,30222,14899671,493
2013/3/1,D,臺南市,食品、飲料及菸草製品零售業,18222,4006335,220
2013/3/1,D,臺南市,餐飲業,12439,1702675,137
2013/3/1,E,高雄市,便利商店,20072,2022874,101
2013/3/1,E,高雄市,百貨公司,43171,45199069,1047
2013/3/1,E,高雄市,綜合商品零售業,20309,3503509,173
2013/3/1,E,高雄市,超級市場,18344,4104077,224
2013/3/1,E,高雄市,零售式量販店,14086,9168636,651
2013/3/1,E,高雄市,食品、飲料及菸草製品零售業,742677,58050952,78
2013/3/1,E,高雄市,餐飲業,10688,1436505,134
2013/3/1,F,新北市,便利商店,36882,3092861,84
2013/3/1,F,新北市,百貨公司,19269,4190294,217
2013/3/1,F,新北市,綜合商品零售業,33402,3360589,101
2013/3/1,F,新北市,超級市場,16952,4208208,248
2013/3/1,F,新北市,零售式量販店,20987,8591842,409
2013/3/1,F,新北市,食品、飲料及菸草製品零售業,15723,2511541,160
2013/3/1,F,新北市,餐飲業,12617,1711974,136
2013/3/1,G,宜蘭縣,便利商店,40752,3714585,91
2013/3/1,G,宜蘭縣,綜合商品零售業,37520,3997425,107
2013/3/1,G,宜蘭縣,超級市場,20353,5557110,273
2013/3/1,G,宜蘭縣,食品、飲料及菸草製品零售業,16620,4047124,244
2013/3/1,H,桃園市,便利商店,40333,3457890,86
2013/3/1,H,桃園市,百貨公司,27456,26292745,958
2013/3/1,H,桃園市,綜合商品零售業,37588,4583157,122
2013/3/1,H,桃園市,超級市場,20870,6944985,333
2013/3/1,H,桃園市,零售式量販店,40670,21535175,530
2013/3/1,H,桃園市,食品、飲料及菸草製品零售業,16036,2889199,180
2013/3/1,H,桃園市,餐飲業,22489,17931552,797
2013/3/1,I,嘉義市,便利商店,19260,1980139,103
2013/3/1,I,嘉義市,綜合商品零售業,42424,6652806,157
2013/3/1,I,嘉義市,超級市場,169210,15444015,91
2013/3/1,J,新竹縣,便利商店,15736,1458391,93
2013/3/1,J,新竹縣,綜合商品零售業,15045,1624084,108
2013/3/1,J,新竹縣,超級市場,6855,1503075,219
2013/3/1,J,新竹縣,食品、飲料及菸草製品零售業,9650,3587814,372
2013/3/1,K,苗栗縣,便利商店,16427,1631632,99
2013/3/1,K,苗栗縣,綜合商品零售業,16921,2494809,147
2013/3/1,K,苗栗縣,超級市場,13720,3733811,272
2013/3/1,K,苗栗縣,食品、飲料及菸草製品零售業,20907,4221299,202
2013/3/1,M,南投縣,便利商店,37093,3748097,101
2013/3/1,M,南投縣,綜合商品零售業,36129,4244117,117
2013/3/1,N,彰化縣,便利商店,18290,2185886,120
2013/3/1,N,彰化縣,綜合商品零售業,40971,4659606,114
2013/3/1,N,彰化縣,超級市場,355174,34540483,97
2013/3/1,N,彰化縣,食品、飲料及菸草製品零售業,21103,4772966,226
2013/3/1,O,新竹市,便利商店,41944,3258230,78
2013/3/1,O,新竹市,百貨公司,42690,57561390,1348
2013/3/1,O,新竹市,綜合商品零售業,40974,6600982,161
2013/3/1,O,新竹市,超級市場,12163,2052214,169
2013/3/1,O,新竹市,食品、飲料及菸草製品零售業,11948,2962999,248
2013/3/1,O,新竹市,餐飲業,10923,1445768,132
2013/3/1,P,雲林縣,便利商店,41077,4045545,98
2013/3/1,P,雲林縣,綜合商品零售業,38829,4670066,120
2013/3/1,P,雲林縣,超級市場,35111,13132176,374
2013/3/1,P,雲林縣,食品、飲料及菸草製品零售業,14841,4739313,319
2013/3/1,Q,嘉義縣,便利商店,45276,4113910,91
2013/3/1,Q,嘉義縣,綜合商品零售業,42542,4545376,107
2013/3/1,Q,嘉義縣,超級市場,28563,8556540,300
2013/3/1,T,屏東縣,便利商店,20225,2493399,123
2013/3/1,T,屏東縣,綜合商品零售業,47360,5315703,112
2013/3/1,T,屏東縣,零售式量販店,14746,4736504,321
2013/3/1,T,屏東縣,食品、飲料及菸草製品零售業,15018,4081413,272
2013/3/1,U,花蓮縣,便利商店,60718,5621607,93
2013/3/1,U,花蓮縣,綜合商品零售業,51562,5494233,107
2013/3/1,V,臺東縣,便利商店,51666,5085038,98
2013/3/1,V,臺東縣,綜合商品零售業,49160,5200957,106
2013/3/1,X,澎湖縣,便利商店,60944,8078766,133
2013/3/1,X,澎湖縣,綜合商品零售業,52448,7279482,139
2013/4/1,A,臺北市,便利商店,49761,3829035,77
2013/4/1,A,臺北市,百貨公司,103990,204006733,1962
2013/4/1,A,臺北市,綜合商品零售業,45380,9824143,216
2013/4/1,A,臺北市,超級市場,15701,3334934,212
2013/4/1,A,臺北市,零售式量販店,26334,14160035,538
2013/4/1,A,臺北市,食品、飲料及菸草製品零售業,19137,2920471,153
2013/4/1,A,臺北市,餐飲業,14641,3905279,267
2013/4/1,B,臺中市,便利商店,18434,1928536,105
2013/4/1,B,臺中市,百貨公司,146446,278191065,1900
2013/4/1,B,臺中市,綜合商品零售業,43886,7556180,172
2013/4/1,B,臺中市,超級市場,273833,25085909,92
2013/4/1,B,臺中市,零售式量販店,43581,22206796,510
2013/4/1,B,臺中市,食品、飲料及菸草製品零售業,18876,4079075,216
2013/4/1,B,臺中市,餐飲業,12534,2266027,181
2013/4/1,C,基隆市,便利商店,29387,2445174,83
2013/4/1,C,基隆市,綜合商品零售業,27077,2601837,96
2013/4/1,C,基隆市,超級市場,14415,3380421,235
2013/4/1,C,基隆市,食品、飲料及菸草製品零售業,14283,1929405,135
2013/4/1,D,臺南市,便利商店,18687,2073693,111
2013/4/1,D,臺南市,百貨公司,109194,192521075,1763
2013/4/1,D,臺南市,綜合商品零售業,56463,9355904,166
