發票年,發票月,縣市代碼,縣市名稱,行業名稱,平均開立張數,平均開立金額,平均客單價
2013,6,U,花蓮縣,便利商店,66600,6094529,92
2013,6,V,臺東縣,便利商店,57136,5410214,95
2013,6,X,澎湖縣,便利商店,78501,9781080,125
2013,7,A,臺北市,便利商店,58550,4450977,76
2013,7,B,臺中市,便利商店,21041,2200041,105
2013,7,C,基隆市,便利商店,35612,2847373,80
2013,7,D,臺南市,便利商店,21377,2350353,110
2013,7,E,高雄市,便利商店,21438,2208413,103
2013,7,F,新北市,便利商店,41916,3501144,84
2013,7,G,宜蘭縣,便利商店,49639,4550937,92
2013,7,H,桃園市,便利商店,45700,3921762,86
2013,7,I,嘉義市,便利商店,20566,2153372,105
2013,7,J,新竹縣,便利商店,17733,1651030,93
2013,7,K,苗栗縣,便利商店,17973,1818571,101
2013,7,M,南投縣,便利商店,40931,4309268,105
2013,7,N,彰化縣,便利商店,19968,2369923,119
2013,7,O,新竹市,便利商店,46041,3629662,79
2013,7,P,雲林縣,便利商店,44296,4419675,100
2013,7,Q,嘉義縣,便利商店,48590,4566215,94
2013,7,T,屏東縣,便利商店,21995,2711992,123
2013,7,U,花蓮縣,便利商店,69248,6588495,95
2013,7,V,臺東縣,便利商店,63578,6198216,97
2013,7,X,澎湖縣,便利商店,82409,10587515,128
2013,8,A,臺北市,便利商店,55582,4402348,79
2013,8,B,臺中市,便利商店,20458,2346080,115
2013,8,C,基隆市,便利商店,34090,2849655,84
2013,8,D,臺南市,便利商店,20515,2540149,124
2013,8,E,高雄市,便利商店,20546,2331083,113
2013,8,F,新北市,便利商店,40246,3495222,87
2013,8,G,宜蘭縣,便利商店,47585,4624302,97
2013,8,H,桃園市,便利商店,43412,3844914,89
2013,8,I,嘉義市,便利商店,19435,2264692,117
2013,8,J,新竹縣,便利商店,16861,1638290,97
2013,8,K,苗栗縣,便利商店,17004,1832893,108
2013,8,M,南投縣,便利商店,39702,4558954,115
2013,8,N,彰化縣,便利商店,19063,2696076,141
2013,8,O,新竹市,便利商店,43746,3529958,81
2013,8,P,雲林縣,便利商店,41716,4321273,104
2013,8,Q,嘉義縣,便利商店,46227,4516266,98
2013,8,T,屏東縣,便利商店,21002,2937631,140
2013,8,U,花蓮縣,便利商店,66684,6718106,101
2013,8,V,臺東縣,便利商店,59204,6064448,102
2013,8,X,澎湖縣,便利商店,76622,10874265,142
2013,9,A,臺北市,便利商店,47767,3679030,77
2013,9,B,臺中市,便利商店,19685,2085490,106
2013,9,C,基隆市,便利商店,30606,2511875,82
2013,9,D,臺南市,便利商店,18549,2088984,113
2013,9,E,高雄市,便利商店,19172,1979143,103
2013,9,F,新北市,便利商店,35450,3001453,85
2013,9,G,宜蘭縣,便利商店,40515,3800406,94
2013,9,H,桃園市,便利商店,39050,3377363,86
2013,9,I,嘉義市,便利商店,17625,1826301,104
2013,9,J,新竹縣,便利商店,16010,1484658,93
2013,9,K,苗栗縣,便利商店,16108,1624440,101
2013,9,M,南投縣,便利商店,36848,3843591,104
2013,9,N,彰化縣,便利商店,18333,2305847,126
2013,9,O,新竹市,便利商店,42164,3307573,78
2013,9,P,雲林縣,便利商店,40360,3946297,98
2013,9,Q,嘉義縣,便利商店,40001,3648802,91
2013,9,T,屏東縣,便利商店,18463,2279314,123
2013,9,U,花蓮縣,便利商店,53699,5139790,96
2013,9,V,臺東縣,便利商店,46062,4581687,99
2013,9,X,澎湖縣,便利商店,63461,8669329,137
2013,10,A,臺北市,便利商店,51682,3963826,77
2013,10,B,臺中市,便利商店,20404,2070768,101
2013,10,C,基隆市,便利商店,31814,2582962,81
2013,10,D,臺南市,便利商店,19923,2119326,106
2013,10,E,高雄市,便利商店,19913,1991733,100
2013,10,F,新北市,便利商店,37952,3206841,84
2013,10,G,宜蘭縣,便利商店,40704,3793345,93
2013,10,H,桃園市,便利商店,41060,3533760,86
2013,10,I,嘉義市,便利商店,19516,1938542,99
2013,10,J,新竹縣,便利商店,16578,1516969,92
2013,10,K,苗栗縣,便利商店,16647,1606622,97
2013,10,M,南投縣,便利商店,39061,3929075,101
2013,10,N,彰化縣,便利商店,18307,2169161,118
2013,10,O,新竹市,便利商店,43860,3389068,77
2013,10,P,雲林縣,便利商店,40957,3893162,95
2013,10,Q,嘉義縣,便利商店,44881,4023127,90
2013,10,T,屏東縣,便利商店,19887,2349555,118
2013,10,U,花蓮縣,便利商店,59507,5545161,93
2013,10,V,臺東縣,便利商店,50643,4905985,97
2013,10,X,澎湖縣,便利商店,56743,7731174,136
2013,11,A,臺北市,便利商店,48718,3788579,78
2013,11,B,臺中市,便利商店,18452,1937541,105
2013,11,C,基隆市,便利商店,28149,2357286,84
2013,11,D,臺南市,便利商店,18496,1993938,108
2013,11,E,高雄市,便利商店,18843,1899827,101
2013,11,F,新北市,便利商店,34957,2995308,86
2013,11,G,宜蘭縣,便利商店,35910,3463215,96
2013,11,H,桃園市,便利商店,38544,3376226,88
2013,11,I,嘉義市,便利商店,17496,1785676,102
2013,11,J,新竹縣,便利商店,15216,1424199,94
2013,11,K,苗栗縣,便利商店,14652,1438443,98
2013,11,M,南投縣,便利商店,35583,3686011,104
2013,11,N,彰化縣,便利商店,16491,2011145,122
2013,11,O,新竹市,便利商店,39549,3128540,79
2013,11,P,雲林縣,便利商店,39126,3833496,98
2013,11,Q,嘉義縣,便利商店,38530,3527081,92
2013,11,T,屏東縣,便利商店,17782,2153234,121
2013,11,U,花蓮縣,便利商店,53510,5142468,96
2013,11,V,臺東縣,便利商店,46885,4697956,100
2013,11,X,澎湖縣,便利商店,59059,8278954,140
2013,12,A,臺北市,便利商店,26440,2189371,83
2013,12,B,臺中市,便利商店,15553,1587223,102
2013,12,C,基隆市,便利商店,19200,1684160,88
2013,12,D,臺南市,便利商店,14868,1492613,100
2013,12,E,高雄市,便利商店,15910,1556376,98
2013,12,F,新北市,便利商店,20961,1897270,91
2013,12,G,宜蘭縣,便利商店,19104,1920775,101
2013,12,H,桃園市,便利商店,20851,1936999,93
2013,12,I,嘉義市,便利商店,14710,1455962,99
2013,12,J,新竹縣,便利商店,13451,1286547,96
2013,12,K,苗栗縣,便利商店,13005,1293359,99
2013,12,M,南投縣,便利商店,18807,2038486,108
2013,12,N,彰化縣,便利商店,13799,1615890,117
2013,12,O,新竹市,便利商店,21985,1823420,83
2013,12,P,雲林縣,便利商店,19102,1990521,104
2013,12,Q,嘉義縣,便利商店,18977,1820239,96
2013,12,T,屏東縣,便利商店,14321,1606999,112
2013,12,U,花蓮縣,便利商店,19704,1974527,100
2013,12,V,臺東縣,便利商店,20106,2089704,104
2013,12,W,金門縣,便利商店,29425,3306973,112
